招式学习器,,招式,属性,威力,命中,ＰＰ
,招式学习器０６,剧毒,毒,—,90,10
,招式学习器０７,角钻,一般,变化,30,5
,招式学习器０８,泰山压顶,一般,85,100,15
,招式学习器０９,猛撞,一般,90,85,20
,招式学习器１０,舍身冲撞,一般,100,100,15
,招式学习器１１,泡沫光线,水,65,100,20
,招式学习器１２,水枪,水,40,100,25
,招式学习器１３,冰冻光束,冰,95,100,10
,招式学习器１４,暴风雪,冰,120,90,5
,招式学习器２０,愤怒,一般,20,100,20
,招式学习器２３,龙之怒,龙,变化,100,10
,招式学习器２４,十万伏特,电,95,100,15
,招式学习器２５,打雷,电,120,70,10
,招式学习器３２,影子分身,一般,—,—,15
,招式学习器３３,反射壁,超能力,—,—,20
,招式学习器３４,忍耐,一般,变化,—,10
,招式学习器３８,大字爆炎,火,120,85,5
,招式学习器３９,高速星星,一般,60,—,20
,招式学习器４０,火箭头锤,一般,100,100,15
,招式学习器４４,睡觉,超能力,—,—,10
,招式学习器４５,电磁波,电,—,100,20
,秘传学习器０３,冲浪,水,95,100,15
,,,,,,
,,,,,,
,,,,,,
,,,,,,
